Opportunity Number,Division Name,Property Name,Opp Status,Start Date,Weighted Pipeline,Probability,Estimated $,Opportunity Name,Estimated Labor Hours,Weighted Hours,Last Activity Date,Proposed Date
1599,Commercial Maintenance,Mission Medical Arts Strata Corp.,Won,01/12/26,225,1,225,2026 Winter Leaf Clean,3,3,,01/12/26
800,Commercial Maintenance,The Conservatory Apartments (RealStar),Won,12/15/25,26214,1,26214,2026 Commercial Maintenance Contract (Real Star),361,361,,12/01/25
905,Commercial Maintenance,Ambrosi Apartments (Real Star),Won,12/15/25,15120,1,15120,2026 Commercial Maintenance Contract (Real Star),214.5,214.5,09/10/2025,12/01/25
904,Commercial Maintenance,Glenmore Central (Real Star),Won,12/15/25,20848,1,20848,2026 Commercial Maintenance Contract (Real Star),289.5,289.5,,12/01/25
559,Construction,2386 Dominion Rd ,Won,09/01/26,40556.16,1,40556.16,Landscape Installation,166.5,166.5,,12/09/25
1825,Construction,Sieben Residence,Won,06/02/26,25255.1925,0.75,33673.59,Retaining Wall and Lawn Replacement,191,143.25,03/30/2026,03/23/26
1930,Construction,Magnolia Gardens,Won,04/20/26,7800.04,1,7800.04,Sidewalk and Turf 2026,20,20,03/16/2026,03/16/26
1965,Construction,Osachoff Residence,Won,04/16/26,136852.43,1,136852.43,Landscape Renovation - Budgetary Pricing - Rev 2,507.5,507.5,,03/24/26
1937,Construction,Steve & Janet Croxford Residence,Won,04/15/26,6618.49,1,6618.49,Backyard Lawn Replacement - Rev 1,38.5,38.5,03/20/2026,03/16/26
1981,Construction,B. Callahan Residence,Won,04/13/26,1311.68,1,1311.68,Landscape Repairs at Dock,13,13,03/27/2026,03/26/26
1948,Construction,On Side - 2661 Saddleridge Dr,Won,04/06/26,8800.48,1,8800.48,Replace Charred Asphalt and Sealcoat - Rev 1,0,0,03/27/2026,03/18/26
1124,Construction,Ziprick Residence,Won,04/01/26,10958.59,1,10958.59,Landscape Renovation,89.5,89.5,03/16/2026,12/11/25
1163,Construction,Krabben Residence,Won,04/01/26,1150.63,1,1150.63,Lakeside Lawn Pest Issue Rehabilitation,8,8,,10/27/25
1184,Construction,1465 Bear Creek Road,Won,04/01/26,65011.81,1,65011.81,1465 Bear Creek Rd - Phase 2 (Spring),369,369,,11/21/25
1234,Construction,Rolheiser Residence,Won,04/01/26,3815.42,1,3815.42,Front Yard Renovation,34,34,03/03/2026,10/22/25
1313,Construction,KAS 3686 Stonewater (Peachland),Won,04/01/26,6515.14,1,6515.14,Landscape Renovation,47,47,03/24/2026,12/19/25
1184,Construction,1465 Bear Creek Road,Won,04/01/26,-855.18,1,-855.18,Change Order - Crusher Chip,0,0,,01/14/26
1184,Construction,1465 Bear Creek Road,Won,04/01/26,10070.12,1,10070.12,Change Order - Lighting Installation,46.5,46.5,,01/20/26
1849,Construction,Quinn Residence,Won,04/01/26,4475.5,1,4475.5,Blue Shag Pine Reno,27,27,03/27/2026,03/27/26
1124,Construction,Ziprick Residence,Won,04/01/26,14507.85,1,14507.85,Sunken Hot Tub Wall,90,90,03/16/2026,03/13/26
1184,Construction,1465 Bear Creek Road,Won,04/01/26,3763.2,1,3763.2,Change Order - Sport Court Base Extension,19,19,03/09/2026,03/09/26
1921,Construction,Susan Borrowman Residence,Won,04/01/26,5448.21,1,5448.21,Center Bed Renovation,34,34,03/16/2026,03/12/26
1124,Construction,Ziprick Residence,Won,04/01/26,1062.49,1,1062.49,Landscape Renovation - Extra Hottub Work,6,6,,03/30/26
1870,Construction,Budd Residence,Won,03/23/26,7398,1,7398,2026 Mulch Project,51,51,03/17/2026,03/05/26
1919,Construction,(WestCorp) Ledge on Lakeshore,Won,03/23/26,702.3,1,702.3,Paver Repairs Outside Building 3,7,7,03/30/2026,03/11/26
1940,Construction,Abel Residence,Won,03/19/26,329.5,1,329.5,Remove 5x5 Mugo pine,2,2,,03/17/26
1783,Construction,Reidy Residence,Won,03/16/26,29789.32,1,29789.32,Landscape Completion,102.5,102.5,02/10/2026,02/17/26
1477,Construction,Iron Horse Estates,Won,03/15/26,36297.85,1,36297.85,Renovation of Front Beds,221,221,12/09/2025,12/05/25
994,Construction,Mission Flats (Devon),Won,03/01/26,1839.1,1,1839.1,Dog Run Re-Mulch,12,12,12/04/2025,11/17/25
1149,Construction,Kornell Residence,Won,03/01/26,19720.47,1,19720.47,Landscape Renovation - Phase 2 (Spring),82,82,12/09/2025,11/12/25
1867,Construction,Hartford Residence,Won,03/01/26,3183.2,1,3183.2,Remove Fence ASAP,32,32,,02/24/26
1149,Construction,Kornell Residence,Won,03/01/26,0,1,0,Landscape Renovation - Phase 2 (Spring) - Lighting Adjustment,0,0,,03/26/26
1775,Construction,On Side - 2661 Saddleridge Dr,Won,02/27/26,3055,1,3055,Fire Restoration - Landscaping,22,22,02/12/2026,02/12/26
1490,Construction,McElligott Residence,Won,02/11/26,1334.57,1,1334.57,Pavers Under Planters,9,9,12/15/2025,12/15/25
1801,Construction,Okanagan Veterinary Hospital,Won,02/09/26,667.52,1,667.52,Gravel Top Up Rev 1,5,5,02/10/2026,02/06/26
1608,Construction,Landmark 2,Won,02/02/26,3248.23,1,3248.23,Apex Parkade Planter Renovation ,12.5,12.5,01/21/2026,01/20/26
1582,Construction,Cassiar Meadows Corporate,Won,02/01/26,597.5,1,597.5,Corporate Beds Consult/Design,6.25,6.25,01/15/2026,12/19/25
1583,Construction,Cassiar Meadows Townhouses,Won,02/01/26,920,1,920,Townhouse Beds Design/Consult,9.75,9.75,01/15/2026,01/14/26
601,Construction,Kelly Morhaliek Residence,Won,01/26/26,2888.52,1,2888.52,Retaining Wall Reconstruction,24.5,24.5,02/09/2026,01/05/26
1590,Indirect/Overhead,Dario's Internal Property,Won,01/01/26,0,1,0,Indirect Services 2026,48,48,,01/05/26
1591,Indirect/Overhead,Dario's Internal Property,Won,01/01/26,0,1,0,Indirect Services 2026,24,24,03/29/2026,01/05/26
1862,Indirect/Overhead,Dario's Internal Property,Won,01/01/26,0,1,0,Indirect Services 2026,12,12,03/03/2026,02/23/26
2006,Irrigation/Lighting,Maggie Getz Residence,Won,04/01/26,90,1,90,Water Feature Startup,1,1,,04/01/26
1983,Irrigation/Lighting,(Devon) Orchard Walk 1&2,Won,03/26/26,150,1,150,Startup Irrigation Repairs,2,2,,03/26/26
1968,Irrigation/Lighting,Meadowbrook Estates,Won,03/24/26,1400,1,1400,Irrigation Services,17.5,17.5,03/24/2026,03/23/26
1628,Irrigation/Lighting,Petraroia Residence,Won,01/21/26,75,1,75,Lighting Repair,1,1,,01/26/26
1613,Irrigation/Lighting,Kates Residence,Won,01/20/26,80,1,80,Lighting Issue,1,1,,01/19/26
1614,Irrigation/Lighting,(SPI) 2540/2544 Enterprise - Iron Nation,Won,01/20/26,351.7,1,351.7,Valve Box and Part Replacement ,2,2,,01/19/26
1767,Residential Maintenance,Forman Residence,Won,09/01/26,8610,1,8610,2026 Maintenance Agreement ,108.5,108.5,03/29/2026,02/16/26
1860,Residential Maintenance,MacDonald Residence,Won,05/01/26,2070,1,2070,Annuals installation,12,12,,02/22/26
1647,Residential Maintenance,Blok-Montieth Residence,Won,04/01/26,1215,1,1215,2026 Maintenance Agreement,13.5,13.5,02/06/2026,02/05/26
1648,Residential Maintenance,Browne Residence,Won,04/01/26,1975,1,1975,2026 Maintenance Agreement,22.25,22.25,02/06/2026,02/05/26
1684,Residential Maintenance,Kornelson Residence,Won,04/01/26,1784.2,1,1784.2,2026 Maintenance Agreement ,16,16,02/09/2026,02/09/26
1688,Residential Maintenance,Leitch Residence,Won,04/01/26,3470,1,3470,2026 Maintenance Agreement ,45,45,02/16/2026,02/15/26
1762,Residential Maintenance,Hicks Residence,Won,04/01/26,2910,1,2910,2026 Maintenance Agreement,36,36,03/29/2026,03/10/26
1990,Residential Maintenance,MacDonald Residence,Won,04/01/26,216,1,216,Darios IPM Services,1.5,1.5,,03/29/26
1991,Residential Maintenance,Goldberg Residence,Won,04/01/26,216,1,216,Darios IPM Services,1.5,1.5,,03/29/26
1992,Residential Maintenance,Salloum Residence,Won,04/01/26,216,1,216,Darios IPM Services,1.5,1.5,,03/29/26
1858,Residential Maintenance,Marshall Residence,Won,04/01/26,565.4,1,565.4,Full Lawn Start Estimate,5,5,03/31/2026,03/29/26
1807,Residential Maintenance,Greenwood Residence,Won,04/01/26,675,1,675,Lawn Start,5.5,5.5,03/26/2026,03/01/26
1857,Residential Maintenance,Rolheiser Residence,Won,04/01/26,310.2,1,310.2,Full Lawn Start Estimate,3,3,03/29/2026,03/16/26
1988,Residential Maintenance,Stuart Residence,Won,04/01/26,112.5,1,112.5,Darios IPM Services,1.5,1.5,,03/29/26
1946,Residential Maintenance,Skidmore Residence,Won,03/31/26,3497.9,1,3497.9,2026 Annuals Installation,14,14,,03/23/26
1986,Residential Maintenance,Elkow Residence,Won,03/27/26,0,1,0,IPM Rose Spraying,0,0,,03/27/26
1985,Residential Maintenance,Tuck Residence,Won,03/26/26,0,1,0,IPM Rose Spraying,0,0,,03/27/26
1976,Residential Maintenance,Schwartz Residence,Won,03/25/26,0,1,0,Schwartz Secondary Cleanup,1,1,,03/24/26
1966,Residential Maintenance,B. Callahan Residence,Won,03/24/26,0,1,0,Lawn Start,8,8,,03/23/26
1972,Residential Maintenance,Cordoba Residence,Won,03/23/26,0,1,0,IPM Rose Spraying,0,0,,03/24/26
1973,Residential Maintenance,McRae Residence,Won,03/23/26,0,1,0,IPM Rose Spraying,0,0,,03/24/26
1974,Residential Maintenance,Rowat Residence,Won,03/23/26,0,1,0,IPM Rose Spraying,0,0,,03/24/26
1958,Residential Maintenance,Eppler Residence,Won,03/20/26,0,1,0,IPM Rose Spraying,0,0,,03/21/26
1955,Residential Maintenance,Wong/Yap Residence,Won,03/17/26,0,1,0,IPM Rose Spraying,0,0,,03/19/26
1922,Residential Maintenance,(WestCorp) Ledge on Lakeshore,Won,03/13/26,1200,1,1200,2026 Spring Annuals Installation,7,7,03/19/2026,03/11/26
1931,Residential Maintenance,Skidmore Residence,Won,03/12/26,0,1,0,Rose Spraying,0,0,,03/13/26
1932,Residential Maintenance,West Residence,Won,03/12/26,0,1,0,Rose Spraying,0,0,,03/13/26
1933,Residential Maintenance,Green Residence,Won,03/12/26,0,1,0,Rose Spraying,0,0,,03/13/26
1934,Residential Maintenance,Woronuk Residence,Won,03/12/26,0,1,0,Rose Spraying,0,0,,03/13/26
1917,Residential Maintenance,Myroon Residence,Won,03/11/26,0,1,0,Myroon Secondary Cleanup,1,1,,03/11/26
1928,Residential Maintenance,Budd Residence,Won,03/11/26,0,1,0,Rose Spraying,0,0,,03/12/26
1927,Residential Maintenance,Folk Residence,Won,03/10/26,0,1,0,Rose Spraying,0,0,,03/12/26
1894,Residential Maintenance,Dodd Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1895,Residential Maintenance,Anastasi Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1896,Residential Maintenance,Skoglund Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1898,Residential Maintenance,Marshall Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1899,Residential Maintenance,Partington Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1900,Residential Maintenance,Henderson Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1901,Residential Maintenance,Rolheiser Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1902,Residential Maintenance,Grimes Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1903,Residential Maintenance,Rau Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1904,Residential Maintenance,Savard Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1905,Residential Maintenance,Mather Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1906,Residential Maintenance,Petraroia Residence,Won,03/06/26,0,1,0,Rose Spraying,0,0,,03/08/26
1167,Residential Maintenance,KAS 3686 Stonewater (Peachland),Won,03/01/26,23382.5,1,23382.5,2026 Maintenance Agreement RENEWAL,300,300,03/24/2026,03/10/26
1704,Residential Maintenance,Mercer Residence,Won,03/01/26,5160,1,5160,2026 Maintenance Agreement,64.5,64.5,02/15/2026,02/15/26
934,Residential Maintenance,Elkow Residence,Won,03/01/26,18020,1,18020,2026 Maintenance Agreement,232.7,232.7,03/29/2026,03/05/26
1239,Residential Maintenance,Levee Residence,Won,03/01/26,7536,1,7536,2026 Residential Maintenance Agreement,89,89,03/11/2026,03/16/26
1607,Residential Maintenance,Ashenhurst Residence,Won,03/01/26,4147.5,1,4147.5,2026 Residential Maintenance,42.5,42.5,,03/01/26
1610,Residential Maintenance,B. Callahan Residence,Won,03/01/26,38234.07,1,38234.07,2026 Maintenance Agreement,481,481,03/31/2026,03/04/26
1630,Residential Maintenance,Piper Residence,Won,03/01/26,2805,1,2805,2026 Maintenance Agreement,30.7,30.7,03/05/2026,02/05/26
1643,Residential Maintenance,Anastasi Residence,Won,03/01/26,9830.07,1,9830.07,2026 Maintenance Agreement ,124,124,03/05/2026,02/05/26
1644,Residential Maintenance,Apgar Residence,Won,03/01/26,10600.95,1,10600.95,2026 Maintenance Agreement,139.58,139.58,02/06/2026,02/05/26
1645,Residential Maintenance,Begg Residence,Won,03/01/26,10592.36,1,10592.36,2026 Maintenance Agreement,128.5,128.5,02/06/2026,02/22/26
1646,Residential Maintenance,Beirnes Residence,Won,03/01/26,5338.57,1,5338.57,2026 Maintenance Agreement,64.5,64.5,02/06/2026,02/20/26
1650,Residential Maintenance,Brunton Residence,Won,03/01/26,810,1,810,2026 Maintenance Agreement,10,10,02/06/2026,02/06/26
1651,Residential Maintenance,Budd Residence,Won,03/01/26,11315,1,11315,2026 Maintenance Agreement,146.58,146.58,02/06/2026,02/05/26
1652,Residential Maintenance,Christensen Residence,Won,03/01/26,6465,1,6465,2026 Maintenance Agreement,82,82,02/06/2026,02/05/26
1653,Residential Maintenance,Clark Residence,Won,03/01/26,1893.57,1,1893.57,2026 Maintenance Agreement ,22,22,03/29/2026,02/05/26
1654,Residential Maintenance,Groupe Dermapure Inc,Won,03/01/26,5235,1,5235,2026 Maintenance Agreement,57,57,03/29/2026,03/12/26
1655,Residential Maintenance,Dodd Residence,Won,03/01/26,4465,1,4465,2026 Maintenance Agreement,55.5,55.5,03/11/2026,02/05/26
1656,Residential Maintenance,Driscoll Residence,Won,03/01/26,4370,1,4370,2026 Maintenance Agreement,54,54,02/06/2026,02/05/26
1658,Residential Maintenance,Cordoba Residence,Won,03/01/26,36484.47,1,36484.47,2026 Maintenance Agreement ,473,473,03/24/2026,02/13/26
1659,Residential Maintenance,Eppler Residence,Won,03/01/26,11005,1,11005,2026 Maintenance Agreement,142.58,142.58,03/24/2026,03/18/26
1662,Residential Maintenance,Fleming Residence,Won,03/01/26,3790,1,3790,2026 Maintenance Agreement,48.5,48.5,02/09/2026,02/05/26
1663,Residential Maintenance,Folk Residence,Won,03/01/26,20795,1,20795,2026 Maintenance Agreement,268,268,03/20/2026,02/05/26
1664,Residential Maintenance,Forzani Residence,Won,03/01/26,13611.61,1,13611.61,2026 Maintenance Agreement,161.5,161.5,02/06/2026,02/05/26
1665,Residential Maintenance,Garnett Residence,Won,03/01/26,1860,1,1860,2026 Maintenance Agreement,24,24,02/09/2026,02/09/26
1666,Residential Maintenance,Gossard Residence,Won,03/01/26,2561.4,1,2561.4,2026 Maintenance Agreement,27.5,27.5,03/20/2026,02/05/26
1667,Residential Maintenance,Green Residence,Won,03/01/26,12492.5,1,12492.5,2026 Maintenance Agreement,160,160,03/16/2026,02/05/26
1668,Residential Maintenance,Greenwood Residence,Won,03/01/26,2850,1,2850,2026 Maintenance Agreement,40,40,02/06/2026,02/20/26
1669,Residential Maintenance,Grimes Residence,Won,03/01/26,6807,1,6807,2026 Maintenance Agreement,77,77,02/09/2026,02/23/26
1670,Residential Maintenance,Hales Residence,Won,03/01/26,4110,1,4110,2026 Maintenance Agreement,52,52,02/09/2026,02/08/26
1672,Residential Maintenance,West Residence,Won,03/01/26,8206.19,1,8206.19,2026 Maintenance Agreement,100.25,100.25,02/09/2026,02/08/26
1673,Residential Maintenance,Hannay Residence,Won,03/01/26,6078.57,1,6078.57,2026 Maintenance Agreement,75,75,03/26/2026,02/08/26
1674,Residential Maintenance,Hanson Residence,Won,03/01/26,6195,1,6195,2026 Maintenance Agreement,78.5,78.5,02/09/2026,02/08/26
1675,Residential Maintenance,Harlos Residence,Won,03/01/26,1995,1,1995,2026 Maintenance Agreement,24.75,24.75,02/09/2026,02/08/26
1677,Residential Maintenance,Jenkins Residence,Won,03/01/26,1560,1,1560,2026 Maintenance Agreement,20,20,02/09/2026,02/08/26
1678,Residential Maintenance,Jones Residence,Won,03/01/26,7127.78,1,7127.78,2026 Maintenance Agreement,89,89,03/30/2026,02/20/26
1679,Residential Maintenance,Courtney Jones Residence,Won,03/01/26,3780,1,3780,2026 Maintenance Agreement,44.25,44.25,03/04/2026,02/09/26
1681,Residential Maintenance,Kates Residence,Won,03/01/26,16305,1,16305,2026 Maintenance Agreement ,206,206,02/10/2026,03/04/26
1682,Residential Maintenance,Kerr Residence,Won,03/01/26,12516.65,1,12516.65,2026 Maintenance Agreement,162,162,03/26/2026,02/16/26
1683,Residential Maintenance,Kissick Residence,Won,03/01/26,7552.04,1,7552.04,2026 Maintenance Agreement ,90,90,02/20/2026,02/09/26
1685,Residential Maintenance,Krabben Residence,Won,03/01/26,16893.45,1,16893.45,2026 Maintenance Agreement ,206.75,206.75,03/18/2026,02/13/26
1686,Residential Maintenance,Lamb Residence,Won,03/01/26,900,1,900,2026 Maintenance Agreement,10,10,02/12/2026,02/09/26
1689,Residential Maintenance,Lind Residence,Won,03/01/26,5276.2,1,5276.2,2026 Maintenance Agreement ,57.25,57.25,02/10/2026,02/09/26
1690,Residential Maintenance,Logel Residence,Won,03/01/26,10850,1,10850,2026 Maintenance Agreement ,135,135,02/11/2026,02/09/26
1692,Residential Maintenance,M. Manders Residence,Won,03/01/26,3155,1,3155,2026 Maintenance Agreement ,40,40,,02/23/26
1693,Residential Maintenance,T. Manders Residence,Won,03/01/26,7295,1,7295,2026 Maintenance Agreement,92,92,03/06/2026,02/15/26
1694,Residential Maintenance,Marshall Residence,Won,03/01/26,5655,1,5655,2026 Maintenance Agreement,71,71,02/18/2026,03/04/26
1695,Residential Maintenance,Mather Residence,Won,03/01/26,14033.45,1,14033.45,2026 Maintenance Agreement ,177.25,177.25,03/25/2026,02/24/26
1697,Residential Maintenance,Cindy McCauley Residence,Won,03/01/26,1185,1,1185,2026 Maintenance Agreement,14.5,14.5,02/15/2026,02/15/26
1698,Residential Maintenance,Patti McCauley Residence,Won,03/01/26,6350,1,6350,2026 Maintenance Agreement ,75,75,02/15/2026,02/15/26
1699,Residential Maintenance,McElligott Residence,Won,03/01/26,5145,1,5145,2026 Maintenance Agreement ,65,65,02/27/2026,02/15/26
1700,Residential Maintenance,McKain Residence,Won,03/01/26,16965,1,16965,2026 Maintenance Agreement,214.5,214.5,03/29/2026,02/13/26
1705,Residential Maintenance,Middler Residence,Won,03/01/26,1860,1,1860,2026 Maintenance Agreement,24,24,02/26/2026,02/16/26
1706,Residential Maintenance,Myroon Residence,Won,03/01/26,5557.5,1,5557.5,2026 Maintenance Agreement ,70,70,03/25/2026,02/15/26
1707,Residential Maintenance,Partington Residence,Won,03/01/26,12270.5,1,12270.5,2026 Maintenance Agreement ,141,141,03/06/2026,02/16/26
1710,Residential Maintenance,Quinn Residence,Won,03/01/26,10137.57,1,10137.57,2026 Maintenance Agreement ,130,130,02/15/2026,02/15/26
1711,Residential Maintenance,Rau Residence,Won,03/01/26,8580.6,1,8580.6,2026 Maintenance Agreement,110.25,110.25,02/15/2026,02/15/26
1712,Residential Maintenance,Reimer Residence,Won,03/01/26,9955.77,1,9955.77,2026 Maintenance Agreement ,124.5,124.5,03/26/2026,03/10/26
1713,Residential Maintenance,Roberts Residence,Won,03/01/26,24699.57,1,24699.57,2026 Maintenance Agreement ,285,285,03/11/2026,02/10/26
1714,Residential Maintenance,Trujillo Residence,Won,03/01/26,6351.07,1,6351.07,2026 Maintenance Agreement ,76,76,03/03/2026,02/16/26
1715,Residential Maintenance,Rolheiser Residence,Won,03/01/26,3476.73,1,3476.73,2026 Maintenance Agreement ,40.5,40.5,03/11/2026,02/19/26
1716,Residential Maintenance,Rowat Residence,Won,03/01/26,6360,1,6360,2026 Maintenance Agreement ,77.25,77.25,02/19/2026,02/16/26
1719,Residential Maintenance,Salloum Residence,Won,03/01/26,12840,1,12840,2026 Maintenance Agreement ,167,167,04/01/2026,02/10/26
1720,Residential Maintenance,Savard Residence,Won,03/01/26,3125,1,3125,2026 Maintenance Agreement ,41.5,41.5,,02/23/26
1722,Residential Maintenance,Schroecksnadel Residence,Won,03/01/26,13340,1,13340,2026 Maintenance Agreement ,172,172,03/27/2026,02/17/26
1723,Residential Maintenance,Schwartz Residence,Won,03/01/26,8555.64,1,8555.64,2026 Maintenance Agreement ,104.5,104.5,,03/08/26
1725,Residential Maintenance,Skidmore Residence,Won,03/01/26,12082.25,1,12082.25,2026 Maintenance Agreement ,126.5,126.5,03/12/2026,02/10/26
1726,Residential Maintenance,Skoglund Residence,Won,03/01/26,2637,1,2637,2026 Maintenance Agreement ,30,30,02/28/2026,02/16/26
1727,Residential Maintenance,Spek Residence,Won,03/01/26,2584,1,2584,2026 Maintenance Agreement ,27.5,27.5,02/17/2026,02/16/26
1728,Residential Maintenance,Stein/Willett Residence,Won,03/01/26,3315,1,3315,2026 Maintenance Agreement ,41.6,41.6,02/28/2026,02/14/26
1730,Residential Maintenance,Tonsmeier Residence,Won,03/01/26,11535,1,11535,2026 Maintenance Agreement,149,149,03/29/2026,02/13/26
1731,Residential Maintenance,Thomson Residence,Won,03/01/26,1530,1,1530,2026 Maintenance Agreement ,20,20,03/30/2026,03/04/26
1732,Residential Maintenance,Tuck Residence,Won,03/01/26,17043.57,1,17043.57,2026 Maintenance Agreement ,218,218,02/10/2026,02/10/26
1733,Residential Maintenance,Valliere /Paul Residence,Won,03/01/26,11250,1,11250,2026 Maintenance Agreement,150,150,04/01/2026,02/18/26
1734,Residential Maintenance,Van Dijk Residence,Won,03/01/26,4465,1,4465,2026 Maintenance Agreement ,55,55,03/29/2026,03/24/26
1735,Residential Maintenance,Varzari Residence,Won,03/01/26,16545,1,16545,2026 Maintenance Agreement ,209.5,209.5,02/10/2026,02/10/26
1737,Residential Maintenance,Vioen Residence,Won,03/01/26,7317.1,1,7317.1,2026 Maintenance Agreement ,90,90,02/10/2026,02/09/26
1738,Residential Maintenance,Wong/Yap Residence,Won,03/01/26,21847.14,1,21847.14,2026 Maintenance Agreement ,281,281,03/19/2026,02/10/26
1739,Residential Maintenance,Woronuk Residence,Won,03/01/26,18840,1,18840,2026 Maintenance Agreement ,235,235,02/10/2026,02/10/26
1741,Residential Maintenance,Zaremba Residence,Won,03/01/26,6120,1,6120,2026 Maintenance Agreement ,78,78,02/16/2026,02/16/26
1744,Residential Maintenance,Hill Residence,Won,03/01/26,3780,1,3780,2026 Maintenance Agreement ,48,48,02/24/2026,02/16/26
1748,Residential Maintenance,SPI General Landscaping,Won,03/01/26,5400,1,5400,2026 Maintenance Agreement ,69.75,69.75,,02/12/26
1750,Residential Maintenance,Redpath (Oxford),Won,03/01/26,2975,1,2975,2026 Maintenance Agreement ,35.75,35.75,03/17/2026,03/10/26
1751,Residential Maintenance,Reuter Rental Property,Won,03/01/26,633.3,1,633.3,2026 Maintenance Agreement ,3,3,02/17/2026,02/24/26
1755,Residential Maintenance,Sue Kennedy Residence,Won,03/01/26,2460,1,2460,2026 Maintenance Agreement,32,32,03/02/2026,02/16/26
1757,Residential Maintenance,Nav & Dilpreet Kaur Residence,Won,03/01/26,16290,1,16290,2026 Maintenance Agreement ,211.7,211.7,03/11/2026,03/09/26
1760,Residential Maintenance,McRae Residence,Won,03/01/26,33442.14,1,33442.14,2026 Maintenance Agreement,435,435,03/19/2026,02/27/26
1761,Residential Maintenance,Turner Residence,Won,03/01/26,2102.26,1,2102.26,2026 Maintenance Agreement ,20,20,,03/29/26
1765,Residential Maintenance,Emma Borer Residence,Won,03/01/26,5670,1,5670,2026 Maintenance Agreement ,72,72,02/19/2026,02/16/26
1766,Residential Maintenance,Watters Residence,Won,03/01/26,1370,1,1370,2026 Maintenance Agreement,18,18,03/11/2026,03/11/26
1768,Residential Maintenance,MacDonald Residence,Won,03/01/26,7920,1,7920,2026 Maintenance Agreement ,102,102,02/17/2026,02/23/26
1786,Residential Maintenance,Jensen Residence,Won,03/01/26,7740.9,1,7740.9,2026 Residential Maintenance,95.5,95.5,,03/04/26
1791,Residential Maintenance,Goldberg Residence,Won,03/01/26,7365,1,7365,2026 Residential Maintenance,90.5,90.5,02/10/2026,03/01/26
1816,Residential Maintenance,Forzani Residence,Won,03/01/26,1193.46,1,1193.46,Spider Control,0,0,,02/12/26
1837,Residential Maintenance,Proskiw Residence,Won,03/01/26,9770.08,1,9770.08,2026 Maintenance Agreement,119.75,119.75,,02/25/26
1838,Residential Maintenance,Jaswal Residence,Won,03/01/26,1620,1,1620,2026 Maintenance Agreement,22,22,,02/27/26
1839,Residential Maintenance,Henderson Residence,Won,03/01/26,2370.03,1,2370.03,2026 Maintenance Agreement,35.5,35.5,03/11/2026,02/24/26
1840,Residential Maintenance,Petraroia Residence,Won,03/01/26,13833.06,1,13833.06,2026 Maintenance Agreement,168.75,168.75,03/30/2026,03/04/26
1841,Residential Maintenance,Krueger Residence,Won,03/01/26,10920,1,10920,2026 Maintenance Agreement,142,142,,03/18/26
1842,Residential Maintenance,Kornell Residence,Won,03/01/26,2620,1,2620,2026 Maintenance Agreement,34,34,,02/20/26
1875,Residential Maintenance,Abel Residence,Won,03/01/26,70908.66,1,70908.66,2026 Maintenance Agreement ,751,751,04/01/2026,02/27/26
1885,Residential Maintenance,Grafton-Taillefer Residence,Won,03/01/26,35995,1,35995,2026 Maintenance Agreement ,477.25,477.25,03/31/2026,03/29/26
1886,Residential Maintenance,Jordison-Cottington Residence,Won,03/01/26,7060,1,7060,2026 Maintenance Agreement,90.42,90.42,03/29/2026,03/16/26
1935,Residential Maintenance,M & B. Forzani Residence,Won,03/01/26,5203.75,1,5203.75,2026 Maintenance Agreement,63.5,63.5,03/24/2026,03/24/26
1936,Residential Maintenance,Hallett Residence,Won,03/01/26,4475,1,4475,2026 Maintenance Agreement,56,56,03/29/2026,03/18/26
1945,Residential Maintenance,Reid Residence,Won,03/01/26,5854.09,1,5854.09,2026 Maintenance Agreement,72,72,03/30/2026,03/29/26
1657,Residential Maintenance,Ducholke Residence,Won,03/01/26,1435,1,1435,2026 Maintenance Agreement,15.5,15.5,02/06/2026,02/05/26
1660,Residential Maintenance,Fairey Residence,Won,03/01/26,4958.75,1,4958.75,2026 Maintenance Agreement,58.25,58.25,02/09/2026,02/09/26
1680,Residential Maintenance,Kafer Residence,Won,03/01/26,1392,1,1392,2026 Maintenance Agreement,13.5,13.5,03/02/2026,02/09/26
1938,Residential Maintenance,Sehgal Residence,Won,03/01/26,2280,1,2280,2026 Spring Cleanup,30,30,03/16/2026,03/16/26
1950,Residential Maintenance,The Greenery,Won,03/01/26,930,1,930,2026 Maintenance Agreement (Bianca),12,12,,03/18/26
1952,Residential Maintenance,The Greenery,Won,03/01/26,3030,1,3030,2026 Maintenance Agreement (Traci & Kirsten),40,40,,03/18/26
1953,Residential Maintenance,The Greenery,Won,03/01/26,1080,1,1080,2026 Maintenance Agreement (Till and Karin),14,14,,03/18/26
